Record_ID,Main_Category,Subcategory,Packaging_Format,Primary_Material,Closure_Type,Barrier_Level,Product_Weight_kg,Packaging_Weight_kg,Pack_to_Product_Ratio,Shelf_Life_Days,Recyclability_Percentage,CO2_Emission_Packaging_kgCO2e,Biodegradability_Score_0_1,Breakage_Risk_0_1,Recycling_Label,Logistics_Region,End_of_Life_Score_0_1,Overall_Sustainability_Score_0_1
1,Baby Products,Baby Wipes,Can,Corrugated Board,None,High,0.345,0.0378,0.11,262,80,0.0178,0.895,0.018,Return to Store,Urban Metro,0.497,0.838
2,Food & Beverage,Staples,Carton,Paperboard,Pump,High,1.122,0.0765,0.068,178,78,0.0566,0.837,0.12,Check Locally,Rural,0.587,0.819
3,Cosmetics,Mascara,Tube,Bioplastic,Heat Seal,Low,0.05,0.0041,0.083,123,76,0.0024,0.905,0.095,Widely Recycled,Urban Metro,0.755,0.876
4,Electronics,Laptop,Sachet,Glass,None,Low,2.066,0.6907,0.334,116,72,0.3696,0.123,0.146,Compostable,Urban Metro,0.784,0.525
5,Stationery,Notebook,Bottle,Rigid Plastic,Flip Top,Low,0.359,0.0291,0.081,108,68,0.095,0.219,0.118,Check Locally,Urban Metro,0.745,0.621
6,Pet Care,Pet Shampoo,Bottle,Bioplastic,Screw Cap,Low,0.473,0.0853,0.181,127,78,0.0831,0.815,0.146,Not Recycled,Urban Metro,0.202,0.746
7,Stationery,Marker,Carton,Paperboard,Heat Seal,Low,0.05,0.0056,0.112,86,86,0.0063,0.742,0.095,Not Recycled,Urban Metro,0.131,0.758
8,Household Care,Dishwash,Pouch,Composite (Plastic+Paper),None,Medium,0.689,0.0807,0.117,137,44,0.2993,0.097,0.027,Return to Store,Urban Metro,0.359,0.406
9,Stationery,Printer Ink,Tray,Corrugated Board,Screw Cap,Low,0.15,0.0119,0.079,100,73,0.0084,0.983,0.055,Check Locally,Urban Metro,0.502,0.852
10,Baby Products,Baby Lotion,Box,Paperboard,Flip Top,High,0.297,0.0161,0.054,290,80,0.0171,0.904,0.084,Return to Store,Urban Metro,0.369,0.822
11,Pet Care,Cat Litter,Bottle,Glass,Pump,Medium,5.267,1.2102,0.23,179,94,1.5224,0.175,0.198,Widely Recycled,Tier-2 City,0.943,0.274
12,Electronics,Small Appliance,Tube,Rigid Plastic,Flip Top,Low,3.193,0.7101,0.222,30,60,2.3702,0.063,0.086,Widely Recycled,Tier-2 City,0.945,0.0
13,Stationery,Printer Ink,Bottle,Glass,Screw Cap,Low,0.252,0.0824,0.327,105,75,0.0523,0.45,0.226,Not Recycled,Urban Metro,0.165,0.633
14,Healthcare OTC,Vitamins,Tub,Glass,Screw Cap,High,0.209,0.0315,0.151,227,74,0.0302,0.446,0.118,Check Locally,Urban Metro,0.547,0.694
15,Pet Care,Cat Litter,Box,Paperboard,Pump,Medium,5.476,0.7268,0.133,317,77,0.7325,0.994,0.078,Check Locally,Urban Metro,0.658,0.671
16,Food & Beverage,Confectionery,Box,Paperboard,Heat Seal,High,0.073,0.0121,0.165,255,92,0.0174,0.799,0.087,Return to Store,Rural,0.218,0.798
