Category,Weight_kg,Volumetric_Weight_kg,L_cm,W_cm,H_cm,Fragility,Moisture_Sens,Shipping_Mode,Distance_km,Packaging_Used,Cost_USD,CO2_Emission_kg,Material_ID
Clothing,0.82,1.41,28,21,12,5,False,Air,1893,Kraft Paper Mailer,1.56,6.673,550.0
Electronics,0.29,0.0,14,7,0,9,True,Air,2141,Mushroom Pkg (Mycelium),1.92,1.552,601.0
Furniture,12.26,38.06,60,61,52,6,False,Road,1491,Wood Crate,16.42,28.374,405.0
Furniture,11.56,38.27,65,64,46,5,False,Road,530,Wood Crate,16.31,10.142,405.0
Clothing,0.25,0.08,22,18,1,1,False,Air,1587,Kraft Paper Mailer,0.3,0.992,550.0
Furniture,51.07,304.08,213,83,86,7,False,Road,1910,Wood Crate,123.03,290.396,405.0
Clothing,0.19,0.2,24,21,2,1,False,Air,1179,Kraft Paper Mailer,0.28,0.59,550.0
Home Decor,1.02,1.14,14,14,29,9,False,Air,1191,Mushroom Pkg (Mycelium),2.26,3.394,601.0
Home Decor,2.98,1.25,15,13,32,10,False,Road,403,Mushroom Pkg (Mycelium),3.19,0.6,601.0
Electronics,0.39,0.0,14,7,0,8,True,Road,339,Mushroom Pkg (Mycelium),1.76,0.066,601.0
Furniture,10.2,33.08,62,58,46,5,False,Road,2959,Wood Crate,14.23,48.942,405.0
Beauty,0.67,0.2,18,7,8,3,True,Air,917,PLA Bioplastic,0.87,1.536,575.0
Furniture,10.4,37.3,64,62,47,4,False,Road,1838,Wood Crate,15.72,34.279,405.0
Electronics,0.12,0.0,5,4,1,5,True,Air,2936,Honeycomb Paper,1.05,0.881,602.0
Electronics,18.55,8.47,113,75,5,10,True,Road,1956,Mushroom Pkg (Mycelium),9.42,18.142,601.0
Electronics,1.64,0.22,31,18,2,9,True,Road,506,Mushroom Pkg (Mycelium),2.46,0.415,601.0
Furniture,17.2,6.2,105,59,5,9,False,Road,1268,Mushroom Pkg (Mycelium),8.68,10.905,601.0
Electronics,18.33,7.66,126,76,4,10,True,Road,620,Mushroom Pkg (Mycelium),9.33,5.682,601.0
Home Decor,2.38,1.16,13,14,32,9,False,Road,681,Mushroom Pkg (Mycelium),2.75,0.81,601.0
Furniture,19.13,4.32,90,60,4,10,False,Road,2011,Mushroom Pkg (Mycelium),9.65,19.235,601.0
Clothing,1.52,3.62,49,41,9,2,True,Air,1297,Kraft Paper Mailer,1.85,11.738,550.0
Clothing,1.36,3.94,48,41,10,2,True,Air,1866,Kraft Paper Mailer,1.98,18.38,550.0
Furniture,65.83,239.31,192,82,76,8,False,Road,1073,Wood Crate,97.32,128.39,405.0
Electronics,0.16,0.0,5,4,0,5,True,Road,163,Honeycomb Paper,1.06,0.013,602.0
Furniture,13.82,31.25,62,56,45,5,False,Road,2894,Wood Crate,13.5,45.219,405.0
Furniture,44.02,258.55,189,90,76,6,False,Road,796,Wood Crate,104.62,102.903,405.0
Furniture,57.3,300.9,207,92,79,6,False,Road,1389,Wood Crate,121.56,208.975,405.0
Electronics,0.26,0.02,15,6,1,9,True,Road,128,Mushroom Pkg (Mycelium),1.9,0.017,601.0
Furniture,13.24,27.23,55,55,45,4,False,Road,710,Wood Crate,11.69,9.667,405.0
Furniture,66.31,279.41,217,87,74,6,False,Road,2745,Wood Crate,112.96,383.49,405.0
Electronics,17.19,7.3,120,76,4,10,True,Road,653,Mushroom Pkg (Mycelium),8.88,5.613,601.0
Electronics,19.6,5.64,112,63,4,10,True,Road,984,Recycled PET Box,9.84,9.643,320.0
Electronics,16.77,8.21,108,76,5,9,True,Road,2872,Mushroom Pkg (Mycelium),8.51,24.082,601.0
