Material_ID,Material_Name,Category,Density_kg_m3,Tensile_Strength_MPa,Cost_per_kg,CO2_Emission_kg,Biodegradable
1,Recycled Palm Leaf,Eco,489,13.19,1.06,0.235,Yes
2,Waterproof Palm Leaf,Eco,561,15.29,1.47,0.449,Yes
3,Single-Ply Kraft Paper,Paper,742,36.08,0.91,0.742,Yes
4,Single-Ply Aluminum Foil,Metal,2506,32.48,3.3,11.137,No
5,Fire-Retardant Nylon Fabric,Plastic,1323,69.04,4.71,6.8,No
6,Commercial-Grade Recycled Denim,Eco,287,4.78,1.61,0.573,Yes
7,Food-Grade Polycarbonate,Plastic,1142,61.84,4,3.615,No
8,Lightweight PET Plastic,Plastic,1082,43.14,0.97,1.941,No
9,Single-Ply Borosilicate Glass,Glass,1957,40.95,2.34,0.965,No
10,Food-Grade Mushroom Mycelium,Eco,146,0.78,5.1,0.486,Yes
11,Laminated PVC Film,Plastic,1469,55.48,2.59,3.339,No
12,Lightweight Plywood,Wood,515,31.71,2.23,0.535,Yes
13,Food-Grade Wax Paper,Paper,892,14.86,1.78,1.09,Yes
14,Double-Wall Cornstarch Foam,Eco,61,0.92,3.25,1.708,Yes
15,Insulated PLA Bioplastic,Eco,627,36.4,4.53,2.184,Yes
16,UV-Stabilized Polyurethane Foam,Plastic,29,0.53,2.31,3.497,No
17,Laminated Plywood,Wood,716,48.08,3.51,0.781,Yes
18,Medical-Grade PLA Bioplastic,Eco,1191,69.14,8.07,2.074,Yes
19,Perforated Aluminum Foil,Metal,2471,36.6,4.47,12.2,No
20,Recycled Seaweed Film,Eco,1089,14,3.73,0.124,Yes
21,Industrial-Grade Plywood,Wood,684,45.92,2.63,0.631,Yes
22,Reinforced Polypropylene (PP),Plastic,1068,51.62,1.79,2.271,No
23,Woven Palm Leaf,Eco,534,18.95,1.52,0.428,Yes
24,Commercial-Grade Cornstarch Foam,Eco,40,0.5,2.1,1.2,Yes
25,Perforated Seaweed Film,Eco,963,12.23,4.49,0.204,Yes
26,Insulated Acrylic Sheet,Plastic,606,43.1,4.11,4.31,No
27,Laminated Hemp Composite,Eco,1236,61.29,4.15,1.328,Yes
28,Perforated Hemp Composite,Eco,1029,41.56,3.31,1.039,Yes
29,Lightweight Hemp Composite,Eco,886,40.25,2.63,0.906,Yes
30,Food-Grade Aluminum Foil,Metal,2752,45.87,6.12,12.231,No
31,Food-Grade HDPE Container,Plastic,911,23.98,1.87,1.822,No
32,Food-Grade ABS Plastic,Plastic,991,38.12,2.86,2.954,No
33,UV-Stabilized Hemp Composite,Eco,1064,53.21,3.93,1.161,Yes
34,Standard Bubble Wrap (LDPE),Plastic,890,9.68,2.13,2.807,No
35,Waterproof Polyurethane Foam,Plastic,34,0.51,2.07,3.356,No
36,Lightweight Kraft Paper,Paper,631,39.44,0.98,0.71,Yes
37,Perforated ABS Plastic,Plastic,912,31.19,2.14,3.022,No
38,Lightweight Jute Burlap,Eco,1059,24.43,1.1,0.458,Yes
39,Single-Ply Polycarbonate,Plastic,1042,43.9,2.16,3.3,No
40,Food-Grade Acrylic Sheet,Plastic,1222,72.5,3.88,3.625,No
41,Lightweight ABS Plastic,Plastic,829,31.9,1.79,2.781,No
42,Commercial-Grade Molded Pulp,Paper,293,1.95,1.02,0.683,Yes
43,Industrial-Grade PVC Film,Plastic,1415,53.43,1.96,2.721,No
44,Laminated Seaweed Film,Eco,1166,18.17,5.65,0.262,Yes
