Category_item,Weight_kg,Volumetric_Weight_kg,Fragility,Moisture_Sens,Shipping_Mode,Distance_km,Packaging_Used,Cost_USD,CO2_Emission_kg_item,Material_ID,Material_Name,Category_material,Density_kg_m3,Tensile_Strength_MPa,Cost_per_kg,CO2_Emission_kg_material,Biodegradable,co2_impact_index,cost_efficiency_index,environmental_impact_score,material_suitability_score,sustainability_score,sustainability_rating,Item_Volume_m3
Clothing,0.82,1.41,5,FALSE,Air,1893,Kraft Paper Mailer,1.56,6.673,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,49.96,8.88,26.85,26.22,0.396871494,D,0.007056
Electronics,0.29,0,9,TRUE,Air,2141,Mushroom Pkg (Mycelium),1.92,1.552,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,78,5.37,7.96,3.72,0.809547637,D,0
Furniture,12.26,38.06,6,FALSE,Road,1491,Wood Crate,16.42,28.374,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,45.51,33,26.71,11.5,1.482590734,B,0.19032
Furniture,11.56,38.27,5,FALSE,Road,530,Wood Crate,16.31,10.142,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,58.46,27.73,20.36,13.44,1.634381059,B,0.19136
Clothing,0.25,0.08,1,FALSE,Air,1587,Kraft Paper Mailer,0.3,0.992,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,81.47,1.08,9.94,78.9,0.130382281,E,0.000396
Furniture,51.07,304.08,7,FALSE,Road,1910,Wood Crate,123.03,290.396,405,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,10.33,41.22,43.96,10.05,1.125204706,C,1.520394
Clothing,0.19,0.2,1,FALSE,Air,1179,Kraft Paper Mailer,0.28,0.59,550,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,86.94,0.83,7.01,78.9,0.142082719,E,0.001008
Home Decor,1.02,1.14,9,FALSE,Air,1191,Mushroom Pkg (Mycelium),2.26,3.394,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,64.65,19.54,12.79,3.08,1.833307128,B,0.005684
Home Decor,2.98,1.25,10,FALSE,Road,403,Mushroom Pkg (Mycelium),3.19,0.6,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,88.67,40.93,4.1,2.79,11.97950927,A,0.00624
Electronics,0.39,0,8,TRUE,Road,339,Mushroom Pkg (Mycelium),1.76,0.066,601,Mushroom Pkg (Mycelium),Bio-based,95,12,3.2,0.18,Yes,98.63,7.21,0.5,4.15,17.30396539,A,0
