material_id,material_type,tensile_strength_mpa,weight_capacity_kg,density_g_cm3,biodegradability_score,biodegradation_time_days,co2_emission_score,recyclability_percentage,production_cost_per_kg
1,Alginate,39.94,116.87,0.93,83.17,316.29,93.8,94.33,669.99
2,Alginate,90.95,75.88,1.08,71.61,884.54,55.4,96.61,1185.69
3,Polybutylene Succinate (PBS),71.58,96.95,1.22,74.92,636.37,95.92,32.3,719.21
4,Seaweed/Kelp-based Polymer,59.78,66.45,1.0,86.54,1058.92,68.2,53.56,337.05
5,Blended Starch,20.59,86.94,1.3,94.12,53.1,77.48,88.94,480.16
6,Recycled PP,20.59,56.37,0.96,65.43,911.44,60.26,68.48,533.68
7,Hemp Fiber Composite,11.92,52.21,1.25,68.75,423.94,95.52,86.91,1158.47
8,Chitosan,83.46,81.47,1.06,96.71,1012.25,88.54,90.03,464.04
9,Paper-based Composite,60.0,73.01,1.18,79.98,993.11,96.53,62.1,630.4
10,Gelatin,69.47,81.6,1.37,61.0,1032.19,85.49,56.41,949.64
11,Recycled LDPE,8.6,50.68,1.39,84.03,504.23,62.66,62.97,474.1
12,Polycaprolactone (PCL),92.65,59.16,1.17,99.56,954.11,68.32,76.39,901.64
13,Recycled PP,80.48,29.27,0.97,91.61,255.98,76.5,56.97,407.52
14,Cork Composite,25.58,25.93,1.33,87.92,856.88,82.01,84.7,442.52
15,Chitosan,22.88,47.17,1.27,62.38,255.51,96.63,93.47,1186.33
16,Seaweed/Kelp-based Polymer,23.02,28.25,1.16,94.12,267.71,71.78,51.2,568.94
17,Jute Fiber Composite,33.71,31.37,1.05,77.47,1005.58,86.4,97.62,929.69
18,Polycaprolactone (PCL),53.24,106.25,1.13,94.74,722.18,98.21,74.35,1040.06
19,Bagasse Fiber Composite,45.02,24.51,1.07,68.17,928.06,61.18,91.72,546.85
20,Seaweed/Kelp-based Polymer,32.56,89.99,1.27,55.45,773.69,93.71,39.07,557.17
21,Natural Fiber Composite,60.95,49.19,1.27,75.11,83.34,73.47,49.1,973.09
22,Cellulose Acetate,19.13,112.44,0.9,65.32,199.94,87.74,53.83,807.0
23,Polybutylene Fumarate (PBF),32.64,71.62,0.96,86.47,604.93,67.64,52.59,561.75
24,Nano-cellulose Composite,39.21,52.68,1.16,97.96,310.36,69.5,43.69,949.57
25,Cork Composite,47.16,75.07,1.31,85.32,504.9,55.44,91.04,1063.71
26,Recycled PET (rPET),76.29,60.74,1.38,94.63,265.05,98.69,60.47,435.04
27,Seaweed/Kelp-based Polymer,24.46,79.99,1.21,74.02,996.28,91.46,97.49,224.36
28,Polybutylene Fumarate (PBF),52.31,32.5,1.06,89.15,689.2,58.5,71.68,474.15
29,Blended Starch,59.23,125.68,1.01,92.54,954.36,99.98,41.41,874.49
30,Paper-based Composite,10.89,65.34,1.32,86.27,600.49,81.91,69.12,1115.25
31,Polyhydroxyvalerate (PHV),60.57,57.18,1.33,76.62,991.89,93.3,99.56,1063.06
32,Coconut Coir Composite,21.88,95.4,1.15,82.23,641.3,57.25,70.43,422.17
33,Cellulose Acetate,12.54,58.83,1.16,85.77,124.92,72.04,32.13,1081.0
34,Polylactic Acid (PLA) Blends,90.78,108.4,1.01,64.52,527.11,84.87,95.45,1010.73
35,Polybutylene Adipate Terephthalate (PBAT),92.27,68.38,1.13,90.96,826.57,59.07,47.97,934.4
36,Nano-cellulose Composite,78.35,96.39,1.21,97.64,455.24,76.59,78.82,888.23
37,Recycled HDPE,33.75,31.76,1.09,74.6,963.13,74.47,67.03,1007.09
38,Polyhydroxyvalerate (PHV),15.43,109.75,1.34,85.8,106.5,64.09,54.13,1061.73
39,Recycled HDPE,67.36,98.09,1.34,87.51,520.69,67.95,51.22,1019.11
40,Seaweed/Kelp-based Polymer,45.75,42.77,1.36,83.96,473.53,98.49,95.16,321.85
41,Polycaprolactone (PCL),17.58,35.75,0.91,78.49,678.09,67.42,94.01,922.15
42,Nano-cellulose Composite,50.62,53.81,0.95,94.38,133.97,63.97,66.89,1041.3
43,Mycelium-based Material,9.82,123.47,0.95,73.82,912.27,78.76,49.58,385.71
44,Cork Composite,87.28,47.53,1.19,55.4,351.54,84.93,38.96,413.8
45,Alginate,29.69,68.57,0.98,92.62,940.02,87.41,42.65,985.98
