product_id,category,weight_kg,fragility,shipping_mode,product_name,industry_type,cost_sensitivity,environmental_priority
1,Clothing,0.82,5,Air,Product_1,Clothing,3,3
2,Electronics,0.29,5,Air,Product_2,Electronics,3,3
3,Furniture,12.26,5,Road,Product_3,Furniture,3,3
4,Furniture,11.56,5,Road,Product_4,Furniture,3,3
5,Clothing,0.25,1,Air,Product_5,Clothing,3,3
6,Furniture,51.07,5,Road,Product_6,Furniture,3,3
7,Clothing,0.19,1,Air,Product_7,Clothing,3,3
8,Home Decor,1.02,5,Air,Product_8,Home Decor,3,3
9,Home Decor,2.98,5,Road,Product_9,Home Decor,3,3
10,Electronics,0.39,5,Road,Product_10,Electronics,3,3
11,Furniture,10.2,5,Road,Product_11,Furniture,3,3
12,Beauty,0.67,3,Air,Product_12,Beauty,3,3
13,Furniture,10.4,4,Road,Product_13,Furniture,3,3
14,Electronics,0.12,5,Air,Product_14,Electronics,3,3
15,Electronics,18.55,5,Road,Product_15,Electronics,3,3
16,Electronics,1.64,5,Road,Product_16,Electronics,3,3
17,Furniture,17.2,5,Road,Product_17,Furniture,3,3
18,Electronics,18.33,5,Road,Product_18,Electronics,3,3
19,Home Decor,2.38,5,Road,Product_19,Home Decor,3,3
20,Furniture,19.13,5,Road,Product_20,Furniture,3,3
21,Clothing,1.52,2,Air,Product_21,Clothing,3,3
22,Clothing,1.36,2,Air,Product_22,Clothing,3,3
23,Furniture,65.83,5,Road,Product_23,Furniture,3,3
24,Electronics,0.16,5,Road,Product_24,Electronics,3,3
25,Furniture,13.82,5,Road,Product_25,Furniture,3,3
26,Furniture,44.02,5,Road,Product_26,Furniture,3,3
27,Furniture,57.3,5,Road,Product_27,Furniture,3,3
28,Electronics,0.26,5,Road,Product_28,Electronics,3,3
29,Furniture,13.24,4,Road,Product_29,Furniture,3,3
30,Furniture,66.31,5,Road,Product_30,Furniture,3,3
31,Electronics,17.19,5,Road,Product_31,Electronics,3,3
32,Electronics,19.6,5,Road,Product_32,Electronics,3,3
33,Electronics,16.77,5,Road,Product_33,Electronics,3,3
34,Clothing,1.9,3,Road,Product_34,Clothing,3,3
35,Home Decor,1.79,5,Road,Product_35,Home Decor,3,3
36,Electronics,0.27,5,Air,Product_36,Electronics,3,3
37,Electronics,2.19,5,Air,Product_37,Electronics,3,3
38,Clothing,1.25,2,Road,Product_38,Clothing,3,3
39,Clothing,0.28,1,Road,Product_39,Clothing,3,3
40,Electronics,0.24,5,Air,Product_40,Electronics,3,3
41,Home Decor,1.74,5,Air,Product_41,Home Decor,3,3
42,Home Decor,2.79,5,Air,Product_42,Home Decor,3,3
43,Home Decor,1.51,5,Road,Product_43,Home Decor,3,3
44,Home Decor,2.87,5,Air,Product_44,Home Decor,3,3
45,Clothing,0.87,5,Air,Product_45,Clothing,3,3
46,Home Decor,1.63,5,Air,Product_46,Home Decor,3,3
47,Clothing,1.29,4,Road,Product_47,Clothing,3,3
48,Clothing,1.05,5,Air,Product_48,Clothing,3,3
49,Clothing,1.36,4,Air,Product_49,Clothing,3,3
50,Furniture,13.93,4,Road,Product_50,Furniture,3,3
51,Clothing,1.15,3,Air,Product_51,Clothing,3,3
52,Electronics,17.12,5,Road,Product_52,Electronics,3,3
53,Beauty,0.47,5,Road,Product_53,Beauty,3,3
54,Furniture,42.93,5,Road,Product_54,Furniture,3,3
55,Clothing,0.23,2,Air,Product_55,Clothing,3,3
56,Clothing,0.87,3,Road,Product_56,Clothing,3,3
57,Clothing,1.47,2,Air,Product_57,Clothing,3,3
58,Furniture,77.46,5,Road,Product_58,Furniture,3,3
59,Beauty,0.43,5,Air,Product_59,Beauty,3,3
60,Beauty,0.24,5,Road,Product_60,Beauty,3,3
61,Furniture,17.29,5,Road,Product_61,Furniture,3,3
62,Electronics,0.1,5,Air,Product_62,Electronics,3,3
63,Clothing,0.99,4,Road,Product_63,Clothing,3,3
64,Electronics,18.04,5,Road,Product_64,Electronics,3,3
65,Electronics,2.27,5,Air,Product_65,Electronics,3,3
66,Electronics,0.13,4,Air,Product_66,Electronics,3,3
67,Beauty,0.47,5,Air,Product_67,Beauty,3,3
68,Home Decor,1.51,5,Road,Product_68,Home Decor,3,3
69,Home Decor,1.57,5,Air,Product_69,Home Decor,3,3
70,Electronics,2.36,5,Air,Product_70,Electronics,3,3
71,Beauty,0.85,4,Air,Product_71,Beauty,3,3
72,Electronics,0.12,4,Air,Product_72,Electronics,3,3
