Order_ID,Date,Item_Name,Category,Weight_kg,Volumetric_Weight_kg,L_cm,W_cm,H_cm,Fragility,Moisture_Sens,Shipping_Mode,Distance_km,Packaging_Used,Cost_USD,CO2_Emission_kg
1,17-05-2025,Sneakers,Clothing,0.82,1.41,28,21,12,5,FALSE,Air,1893,Kraft Paper Mailer,1.56,6.673
2,22-09-2025,Smartphone,Electronics,0.29,0,14,7,0,9,TRUE,Air,2141,Mushroom Pkg (Mycelium),1.92,1.552
3,12-11-2025,Office Chair,Furniture,12.26,38.06,60,61,52,6,FALSE,Road,1491,Wood Crate,16.42,28.374
4,30-01-2025,Office Chair,Furniture,11.56,38.27,65,64,46,5,FALSE,Road,530,Wood Crate,16.31,10.142
5,06-09-2025,T-Shirt,Clothing,0.25,0.08,22,18,1,1,FALSE,Air,1587,Kraft Paper Mailer,0.3,0.992
6,27-04-2025,Sofa (Sectional),Furniture,51.07,304.08,213,83,86,7,FALSE,Road,1910,Wood Crate,123.03,290.396
7,02-11-2025,T-Shirt,Clothing,0.19,0.2,24,21,2,1,FALSE,Air,1179,Kraft Paper Mailer,0.28,0.59
8,22-05-2025,Ceramic Vase,Home Decor,1.02,1.14,14,14,29,9,FALSE,Air,1191,Mushroom Pkg (Mycelium),2.26,3.394
9,07-03-2025,Ceramic Vase,Home Decor,2.98,1.25,15,13,32,10,FALSE,Road,403,Mushroom Pkg (Mycelium),3.19,0.6
10,09-12-2025,Smartphone,Electronics,0.39,0,14,7,0,8,TRUE,Road,339,Mushroom Pkg (Mycelium),1.76,0.066
11,14-11-2025,Office Chair,Furniture,10.2,33.08,62,58,46,5,FALSE,Road,2959,Wood Crate,14.23,48.942
12,25-08-2025,Shampoo,Beauty,0.67,0.2,18,7,8,3,TRUE,Air,917,PLA Bioplastic,0.87,1.536
13,09-05-2025,Office Chair,Furniture,10.4,37.3,64,62,47,4,FALSE,Road,1838,Wood Crate,15.72,34.279
14,02-02-2025,Smart Watch,Electronics,0.12,0,5,4,1,5,TRUE,Air,2936,Honeycomb Paper,1.05,0.881
15,31-05-2025,55-Inch TV,Electronics,18.55,8.47,113,75,5,10,TRUE,Road,1956,Mushroom Pkg (Mycelium),9.42,18.142
16,15-11-2025,Laptop,Electronics,1.64,0.22,31,18,2,9,TRUE,Road,506,Mushroom Pkg (Mycelium),2.46,0.415
17,04-01-2025,Glass Table,Furniture,17.2,6.2,105,59,5,9,FALSE,Road,1268,Mushroom Pkg (Mycelium),8.68,10.905
18,15-07-2025,55-Inch TV,Electronics,18.33,7.66,126,76,4,10,TRUE,Road,620,Mushroom Pkg (Mycelium),9.33,5.682
19,12-08-2025,Ceramic Vase,Home Decor,2.38,1.16,13,14,32,9,FALSE,Road,681,Mushroom Pkg (Mycelium),2.75,0.81
20,12-03-2025,Glass Table,Furniture,19.13,4.32,90,60,4,10,FALSE,Road,2011,Mushroom Pkg (Mycelium),9.65,19.235
21,14-04-2025,Winter Jacket,Clothing,1.52,3.62,49,41,9,2,TRUE,Air,1297,Kraft Paper Mailer,1.85,11.738
22,10-12-2025,Winter Jacket,Clothing,1.36,3.94,48,41,10,2,TRUE,Air,1866,Kraft Paper Mailer,1.98,18.38
23,03-12-2025,Sofa (Sectional),Furniture,65.83,239.31,192,82,76,8,FALSE,Road,1073,Wood Crate,97.32,128.39
24,07-12-2025,Smart Watch,Electronics,0.16,0,5,4,0,5,TRUE,Road,163,Honeycomb Paper,1.06,0.013
25,20-09-2025,Office Chair,Furniture,13.82,31.25,62,56,45,5,FALSE,Road,2894,Wood Crate,13.5,45.219
26,01-10-2025,Sofa (Sectional),Furniture,44.02,258.55,189,90,76,6,FALSE,Road,796,Wood Crate,104.62,102.903
27,20-03-2025,Sofa (Sectional),Furniture,57.3,300.9,207,92,79,6,FALSE,Road,1389,Wood Crate,121.56,208.975
28,13-03-2025,Smartphone,Electronics,0.26,0.02,15,6,1,9,TRUE,Road,128,Mushroom Pkg (Mycelium),1.9,0.017
29,30-05-2025,Office Chair,Furniture,13.24,27.23,55,55,45,4,FALSE,Road,710,Wood Crate,11.69,9.667
30,29-06-2025,Sofa (Sectional),Furniture,66.31,279.41,217,87,74,6,FALSE,Road,2745,Wood Crate,112.96,383.49
31,30-07-2025,55-Inch TV,Electronics,17.19,7.3,120,76,4,10,TRUE,Road,653,Mushroom Pkg (Mycelium),8.88,5.613
32,04-08-2025,55-Inch TV,Electronics,19.6,5.64,112,63,4,10,TRUE,Road,984,Recycled PET Box,9.84,9.643
33,14-08-2025,55-Inch TV,Electronics,16.77,8.21,108,76,5,9,TRUE,Road,2872,Mushroom Pkg (Mycelium),8.51,24.082
34,23-07-2025,Winter Jacket,Clothing,1.9,3.42,50,38,9,3,TRUE,Road,484,Kraft Paper Mailer,1.97,0.828
35,31-07-2025,Ceramic Vase,Home Decor,1.79,1.44,15,15,32,10,FALSE,Road,284,Mushroom Pkg (Mycelium),2.72,0.254
36,13-08-2025,Smartphone,Electronics,0.27,0.02,14,7,1,8,TRUE,Air,1771,Mushroom Pkg (Mycelium),1.71,1.195
37,07-11-2025,Laptop,Electronics,2.19,0.24,32,19,2,7,TRUE,Air,935,PLA Bioplastic,2.28,5.119
38,14-08-2025,Winter Jacket,Clothing,1.25,4.13,53,39,10,2,TRUE,Road,157,Kraft Paper Mailer,2.05,0.324
39,10-07-2025,T-Shirt,Clothing,0.28,0.19,26,18,2,1,FALSE,Road,119,Recycled PET Box,0.31,0.017
40,06-12-2025,Smartphone,Electronics,0.24,0,15,6,0,9,TRUE,Air,1772,Mushroom Pkg (Mycelium),1.9,1.063
41,01-12-2025,Ceramic Vase,Home Decor,1.74,1.25,14,14,32,10,FALSE,Air,2524,Mushroom Pkg (Mycelium),2.7,10.979
42,17-01-2025,Ceramic Vase,Home Decor,2.79,1.09,15,13,28,10,FALSE,Air,2544,Mushroom Pkg (Mycelium),3.12,17.744
43,27-09-2025,Ceramic Vase,Home Decor,1.51,1.35,15,15,30,9,FALSE,Road,583,Mushroom Pkg (Mycelium),2.4,0.44
44,08-08-2025,Ceramic Vase,Home Decor,2.87,1.35,15,15,30,9,FALSE,Air,2886,Mushroom Pkg (Mycelium),2.95,20.707
45,29-01-2025,Sneakers,Clothing,0.87,1.61,32,21,12,5,FALSE,Air,1835,Kraft Paper Mailer,1.64,7.386
46,12-06-2025,Ceramic Vase,Home Decor,1.63,1.34,15,14,32,10,FALSE,Air,1422,Mushroom Pkg (Mycelium),2.65,5.795
47,29-01-2025,Winter Jacket,Clothing,1.29,3.47,47,41,9,4,TRUE,Road,412,Bubble Wrap (LDPE),2.19,0.715
48,03-05-2025,Sneakers,Clothing,1.05,1.19,30,18,11,5,FALSE,Air,1629,Kraft Paper Mailer,1.48,4.846
49,24-04-2025,Winter Jacket,Clothing,1.36,4.21,49,43,10,4,TRUE,Air,1004,Kraft Paper Mailer,2.48,10.567
50,12-06-2025,Office Chair,Furniture,13.93,28.43,54,56,47,4,FALSE,Road,131,Wood Crate,12.17,1.862
51,03-03-2025,Sneakers,Clothing,1.15,1.46,29,21,12,3,FALSE,Air,1017,Kraft Paper Mailer,1.18,3.712
52,11-09-2025,55-Inch TV,Electronics,17.12,8.32,128,65,5,10,TRUE,Road,2035,Mushroom Pkg (Mycelium),8.85,17.42
53,19-05-2025,Perfume Bottle,Beauty,0.47,0.04,9,5,4,8,TRUE,Road,454,Mushroom Pkg (Mycelium),1.79,0.107
54,08-08-2025,Sofa (Sectional),Furniture,42.93,243.1,183,82,81,6,FALSE,Road,1264,Wood Crate,98.44,153.639
55,31-03-2025,T-Shirt,Clothing,0.23,0.08,22,18,1,2,FALSE,Air,1526,Kraft Paper Mailer,0.49,0.877
56,04-07-2025,Sneakers,Clothing,0.87,1.01,28,18,10,3,FALSE,Road,604,Kraft Paper Mailer,1,0.305
57,23-08-2025,Winter Jacket,Clothing,1.47,3.76,51,41,9,2,TRUE,Air,1727,Kraft Paper Mailer,1.9,16.234
58,22-04-2025,Sofa (Sectional),Furniture,77.46,253.97,185,88,78,5,FALSE,Road,1545,Wood Crate,102.59,196.192
59,24-04-2025,Perfume Bottle,Beauty,0.43,0.03,9,4,4,9,TRUE,Air,1759,Mushroom Pkg (Mycelium),1.97,1.891
60,13-10-2025,Perfume Bottle,Beauty,0.24,0.04,10,4,5,10,TRUE,Road,505,Mushroom Pkg (Mycelium),2.1,0.061
61,11-07-2025,Glass Table,Furniture,17.29,6.17,98,63,5,9,FALSE,Road,284,Mushroom Pkg (Mycelium),8.72,2.455
62,02-10-2025,Smart Watch,Electronics,0.1,0,4,4,1,5,TRUE,Air,2408,Honeycomb Paper,1.04,0.602
63,24-03-2025,Sneakers,Clothing,0.99,1.38,32,18,12,4,FALSE,Road,685,Kraft Paper Mailer,1.35,0.473
64,22-04-2025,55-Inch TV,Electronics,18.04,6.99,118,74,4,9,TRUE,Road,981,Mushroom Pkg (Mycelium),9.02,8.849
65,20-10-2025,Laptop,Electronics,2.27,0.1,27,18,1,7,TRUE,Air,1375,Honeycomb Paper,2.31,7.803
66,30-08-2025,Smart Watch,Electronics,0.13,0,4,5,0,4,TRUE,Air,2654,Corrugated Cardboard,0.85,0.863
67,29-11-2025,Perfume Bottle,Beauty,0.47,0.05,10,5,5,8,TRUE,Air,1251,Styrofoam (EPS),1.79,1.47
68,11-05-2025,Ceramic Vase,Home Decor,1.51,1.35,15,15,30,9,FALSE,Road,108,Mushroom Pkg (Mycelium),2.4,0.082
69,06-12-2025,Ceramic Vase,Home Decor,1.57,1.16,13,14,32,9,FALSE,Air,1967,Mushroom Pkg (Mycelium),2.43,7.72
70,20-04-2025,Laptop,Electronics,2.36,0.25,31,20,2,8,TRUE,Air,1663,Mushroom Pkg (Mycelium),2.54,9.812
71,09-07-2025,Shampoo,Beauty,0.85,0.2,20,7,7,4,TRUE,Air,944,PLA Bioplastic,1.14,2.006
72,05-02-2025,Smart Watch,Electronics,0.12,0,4,5,0,4,TRUE,Air,1422,Mushroom Pkg (Mycelium),0.85,0.427
73,12-12-2025,Winter Jacket,Clothing,1.06,4.02,49,41,10,2,TRUE,Road,765,Kraft Paper Mailer,2.01,1.538
74,20-12-2025,Perfume Bottle,Beauty,0.36,0.04,9,5,5,9,TRUE,Air,1851,Mushroom Pkg (Mycelium),1.94,1.666
75,09-08-2025,55-Inch TV,Electronics,23.21,6.5,116,70,4,10,TRUE,Road,2663,Mushroom Pkg (Mycelium),11.28,30.904
76,08-04-2025,Sneakers,Clothing,0.84,1.23,27,19,12,3,FALSE,Road,255,Kraft Paper Mailer,1.09,0.157
77,13-09-2025,Laptop,Electronics,2.01,0.23,29,20,2,7,TRUE,Road,151,Honeycomb Paper,2.2,0.152
78,26-11-2025,Laptop,Electronics,2.07,0.22,28,20,2,8,TRUE,Air,1000,Mushroom Pkg (Mycelium),2.43,5.175
79,08-06-2025,T-Shirt,Clothing,0.21,0.21,27,19,2,2,FALSE,Air,2971,Kraft Paper Mailer,0.48,1.56
80,29-08-2025,Winter Jacket,Clothing,1.98,4.04,47,43,10,3,TRUE,Air,2231,Kraft Paper Mailer,2.22,22.533
81,27-08-2025,55-Inch TV,Electronics,20.3,6.54,112,73,4,10,TRUE,Road,2632,Mushroom Pkg (Mycelium),10.12,26.715
82,12-12-2025,Laptop,Electronics,2.34,0.19,27,18,2,7,TRUE,Road,432,Honeycomb Paper,2.34,0.505
83,28-01-2025,55-Inch TV,Electronics,20.75,8.18,109,75,5,9,TRUE,Road,2146,Mushroom Pkg (Mycelium),10.1,22.265
84,27-04-2025,Laptop,Electronics,1.66,0.23,30,19,2,9,TRUE,Road,234,Mushroom Pkg (Mycelium),2.46,0.194
85,24-12-2025,T-Shirt,Clothing,0.25,0.17,22,19,2,2,FALSE,Air,2703,Kraft Paper Mailer,0.5,1.689
86,24-12-2025,Sofa (Sectional),Furniture,58.74,299.97,218,86,80,6,FALSE,Road,1423,Wood Crate,121.19,213.429
87,23-09-2025,Sneakers,Clothing,1.08,1.66,32,20,13,3,FALSE,Air,2151,Kraft Paper Mailer,1.26,8.927
88,29-12-2025,Smartphone,Electronics,0.24,0.02,14,6,1,9,TRUE,Road,126,Mushroom Pkg (Mycelium),1.9,0.015
89,30-12-2025,55-Inch TV,Electronics,19.13,6.3,125,63,4,9,TRUE,Road,1962,Mushroom Pkg (Mycelium),9.45,18.767
90,11-09-2025,Office Chair,Furniture,14.67,32.88,55,61,49,4,FALSE,Road,1393,Wood Crate,13.95,22.901
91,10-01-2025,Shampoo,Beauty,0.91,0.21,19,8,7,3,TRUE,Air,1430,PLA Bioplastic,0.96,3.253
