Material_ID,Material_Name,Category,Density_kg_m3,Tensile_Strength_MPa,CO2_Emission_kg,Cost_per_kg,Biodegradable
1,Recycled Palm Leaf,Eco,489,13.19,0.235,1.06,Yes
2,Waterproof Palm Leaf,Eco,561,15.29,0.449,1.47,Yes
3,Single-Ply Kraft Paper,Paper,742,36.08,0.742,0.91,Yes
4,Single-Ply Aluminum Foil,Metal,2506,32.48,11.137,3.3,No
5,Fire-Retardant Nylon Fabric,Plastic,1323,69.04,6.8,4.71,No
6,Commercial-Grade Recycled Denim,Eco,287,4.78,0.573,1.61,Yes
7,Food-Grade Polycarbonate,Plastic,1142,61.84,3.615,4,No
8,Lightweight PET Plastic,Plastic,1082,43.14,1.941,0.97,No
9,Single-Ply Borosilicate Glass,Glass,1957,40.95,0.965,2.34,No
10,Food-Grade Mushroom Mycelium,Eco,146,0.78,0.486,5.1,Yes
11,Laminated PVC Film,Plastic,1469,55.48,3.339,2.59,No
12,Lightweight Plywood,Wood,515,31.71,0.535,2.23,Yes
13,Food-Grade Wax Paper,Paper,892,14.86,1.09,1.78,Yes
14,Double-Wall Cornstarch Foam,Eco,61,0.92,1.708,3.25,Yes
15,Insulated PLA Bioplastic,Eco,627,36.4,2.184,4.53,Yes
16,UV-Stabilized Polyurethane Foam,Plastic,29,0.53,3.497,2.31,No
17,Laminated Plywood,Wood,716,48.08,0.781,3.51,Yes
18,Medical-Grade PLA Bioplastic,Eco,1191,69.14,2.074,8.07,Yes
19,Perforated Aluminum Foil,Metal,2471,36.6,12.2,4.47,No
20,Recycled Seaweed Film,Eco,1089,14,0.124,3.73,Yes
21,Industrial-Grade Plywood,Wood,684,45.92,0.631,2.63,Yes
22,Reinforced Polypropylene (PP),Plastic,1068,51.62,2.271,1.79,No
23,Woven Palm Leaf,Eco,534,18.95,0.428,1.52,Yes
24,Commercial-Grade Cornstarch Foam,Eco,40,0.5,1.2,2.1,Yes
25,Perforated Seaweed Film,Eco,963,12.23,0.204,4.49,Yes
26,Insulated Acrylic Sheet,Plastic,606,43.1,4.31,4.11,No
27,Laminated Hemp Composite,Eco,1236,61.29,1.328,4.15,Yes
28,Perforated Hemp Composite,Eco,1029,41.56,1.039,3.31,Yes
29,Lightweight Hemp Composite,Eco,886,40.25,0.906,2.63,Yes
30,Food-Grade Aluminum Foil,Metal,2752,45.87,12.231,6.12,No
31,Food-Grade HDPE Container,Plastic,911,23.98,1.822,1.87,No
32,Food-Grade ABS Plastic,Plastic,991,38.12,2.954,2.86,No
33,UV-Stabilized Hemp Composite,Eco,1064,53.21,1.161,3.93,Yes
34,Standard Bubble Wrap (LDPE),Plastic,890,9.68,2.807,2.13,No
35,Waterproof Polyurethane Foam,Plastic,34,0.51,3.356,2.07,No
36,Lightweight Kraft Paper,Paper,631,39.44,0.71,0.98,Yes
37,Perforated ABS Plastic,Plastic,912,31.19,3.022,2.14,No
38,Lightweight Jute Burlap,Eco,1059,24.43,0.458,1.1,Yes
39,Single-Ply Polycarbonate,Plastic,1042,43.9,3.3,2.16,No
40,Food-Grade Acrylic Sheet,Plastic,1222,72.5,3.625,3.88,No
