Material_Type,Tensile_Strength_MPa,Weight_Capacity_kg,Thickness_Micrometers,Thermal_Stability_C,Biodegradability_Score,Recyclability_Percentage,CO2_Emission_Score,Environmental_Impact_Score
Alginate,39.94,116.87,228.1,168.01,83.17,94.33,93.8,24.33
Alginate,90.95,75.88,133.1,233.24,71.61,96.61,55.4,79.66
Polybutylene Succinate (PBS),71.58,96.95,38.8,162.94,74.92,32.3,95.92,51.16
Seaweed/Kelp-based Polymer,59.78,66.45,194.22,212.45,86.54,53.56,68.2,25.44
Blended Starch,20.59,86.94,91.53,230.32,94.12,88.94,77.48,63.9
Recycled PP,20.59,56.37,31.69,172.57,65.43,68.48,60.26,53.82
Hemp Fiber Composite,11.92,52.21,59.59,225.01,68.75,86.91,95.52,47.85
Chitosan,83.46,81.47,169.52,241.02,96.71,90.03,88.54,34.53
Paper-based Composite,60.0,73.01,201.59,231.27,79.98,62.1,96.53,52.96
Gelatin,69.47,81.6,74.61,189.38,61.0,56.41,85.49,92.5
Recycled LDPE,8.6,50.68,150.61,230.15,84.03,62.97,62.66,90.07
Polycaprolactone (PCL),92.65,59.16,15.21,215.24,99.56,76.39,68.32,58.16
Recycled PP,80.48,29.27,80.42,152.47,91.61,56.97,76.5,92.72
Cork Composite,25.58,25.93,57.68,189.08,87.92,84.7,82.01,77.08
Chitosan,22.88,47.17,32.99,162.52,62.38,93.47,96.63,81.63
Seaweed/Kelp-based Polymer,23.02,28.25,128.72,176.27,94.12,51.2,71.78,42.11
Jute Fiber Composite,33.71,31.37,163.29,220.98,77.47,97.62,86.4,68.31
Polycaprolactone (PCL),53.24,106.25,25.9,186.31,94.74,74.35,98.21,30.34
Bagasse Fiber Composite,45.02,24.51,47.4,184.56,68.17,91.72,61.18,52.24
Seaweed/Kelp-based Polymer,32.56,89.99,234.09,215.22,55.45,39.07,93.71,79.08
Natural Fiber Composite,60.95,49.19,67.43,203.58,75.11,49.1,73.47,82.52
Cellulose Acetate,19.13,112.44,193.6,195.5,65.32,53.83,87.74,41.83
Polybutylene Fumarate (PBF),32.64,71.62,190.72,176.39,86.47,52.59,67.64,52.31
Nano-cellulose Composite,39.21,52.68,90.57,174.7,97.96,43.69,69.5,77.48
Cork Composite,47.16,75.07,62.97,238.44,85.32,91.04,55.44,55.72
Recycled PET (rPET),76.29,60.74,72.33,164.61,94.63,60.47,98.69,86.98
Seaweed/Kelp-based Polymer,24.46,79.99,147.99,171.27,74.02,97.49,91.46,68.55
Polybutylene Fumarate (PBF),52.31,32.5,104.57,207.77,89.15,71.68,58.5,51.3
Blended Starch,59.23,125.68,131.46,247.7,92.54,41.41,99.98,40.63
Paper-based Composite,10.89,65.34,205.73,214.52,86.27,69.12,81.91,74.98
Polyhydroxyvalerate (PHV),60.57,57.18,133.04,207.27,76.62,99.56,93.3,64.38
Coconut Coir Composite,21.88,95.4,248.88,234.27,82.23,70.43,57.25,44.33
Cellulose Acetate,12.54,58.83,171.47,223.12,85.77,32.13,72.04,59.91
Polylactic Acid (PLA) Blends,90.78,108.4,63.7,239.68,64.52,95.45,84.87,71.29
Polybutylene Adipate Terephthalate (PBAT),92.27,68.38,132.39,238.27,90.96,47.97,59.07,20.26
Nano-cellulose Composite,78.35,96.39,206.15,189.48,97.64,78.82,76.59,26.18
Recycled HDPE,33.75,31.76,66.3,212.16,74.6,67.03,74.47,77.4
Polyhydroxyvalerate (PHV),15.43,109.75,186.41,159.01,85.8,54.13,64.09,54.16
Recycled HDPE,67.36,98.09,22.86,199.87,87.51,51.22,67.95,29.9
Seaweed/Kelp-based Polymer,45.75,42.77,236.52,219.81,83.96,95.16,98.49,39.4
Polycaprolactone (PCL),17.58,35.75,170.89,239.68,78.49,94.01,67.42,82.77
Nano-cellulose Composite,50.62,53.81,53.2,195.18,94.38,66.89,63.97,37.64
Mycelium-based Material,9.82,123.47,220.46,232.84,73.82,49.58,78.76,85.15
Cork Composite,87.28,47.53,34.23,228.42,55.4,38.96,84.93,56.19
Alginate,29.69,68.57,110.39,180.19,92.62,42.65,87.41,74.32
Polycaprolactone (PCL),65.43,23.58,188.18,217.5,84.51,67.51,88.74,94.32
Blended Starch,34.38,62.35,235.29,234.39,92.84,52.93,55.89,90.28
Cellulose Acetate,52.82,80.74,96.97,178.85,59.08,34.86,72.23,47.34
Polybutylene Adipate Terephthalate (PBAT),55.18,121.05,210.17,164.29,53.96,62.95,89.65,40.75
Polycaprolactone (PCL),23.15,74.97,61.24,161.13,96.88,82.74,95.64,61.89
Recycled LDPE,92.62,106.9,23.25,160.07,59.52,92.64,81.78,77.78
Jute Fiber Composite,75.4,78.18,21.76,181.62,90.96,71.8,56.6,68.44
Jute Fiber Composite,89.95,24.72,169.67,198.48,91.6,81.18,72.37,94.48
PHA (Polyhydroxyalkanoates),86.0,53.67,51.24,209.62,86.16,56.76,57.6,31.8
Polybutylene Adipate Terephthalate (PBAT),59.71,81.18,26.83,173.34,58.73,65.74,88.48,26.84
PHA (Polyhydroxyalkanoates),88.39,120.78,244.54,191.44,84.2,81.61,57.11,39.84
Poly(3-hydroxybutyrate) (PHB),14.61,111.13,71.87,231.63,94.73,81.48,62.71,43.51
Recycled PET (rPET),24.13,44.52,123.7,214.54,72.71,60.87,73.3,51.76
Cellulose Acetate,10.78,43.65,159.07,174.22,72.14,68.97,75.39,67.71
Polyhydroxyvalerate (PHV),35.58,41.65,48.95,245.51,73.54,94.82,72.82,90.37
Maleic Anhydride Grafted (MAG) Polymers,41.19,117.82,98.93,174.45,56.41,74.98,75.42,89.57
Polybutylene Adipate Terephthalate (PBAT),30.8,110.44,167.21,184.25,94.87,75.7,86.87,35.17
Starch-based Polymer,80.15,102.23,165.34,177.98,93.79,85.35,71.11,77.39
Polyhydroxyvalerate (PHV),38.36,61.88,212.88,156.17,99.9,39.84,79.29,56.78
Nano-cellulose Composite,31.65,73.67,117.79,218.23,80.3,67.56,68.09,91.18
Recycled HDPE,54.82,69.44,224.11,156.77,88.18,97.24,70.4,57.99
Starch-based Polymer,19.26,47.17,175.32,244.21,62.13,56.59,82.31,53.22
Paper-based Composite,77.8,73.74,147.09,167.12,84.21,52.05,76.66,80.25
Seaweed/Kelp-based Polymer,13.38,23.63,42.53,244.14,83.36,72.88,87.32,46.28
Gelatin,94.15,34.33,150.06,169.07,95.31,47.04,79.87,90.7
Recycled HDPE,75.15,114.02,154.75,164.94,91.96,69.8,91.0,24.09
Cellulose Acetate,24.37,99.78,193.32,150.66,97.08,42.58,74.51,64.65
PHA (Polyhydroxyalkanoates),7.27,65.06,184.0,176.06,93.77,71.43,76.69,57.35
Polycaprolactone (PCL),78.97,75.02,139.55,222.76,93.76,72.96,84.88,39.85
Chitosan,69.36,59.48,154.31,223.44,55.53,60.45,64.33,22.18
PHA (Polyhydroxyalkanoates),71.32,98.63,196.5,150.0,92.68,58.03,71.88,58.78
Recycled PP,75.06,103.21,97.59,163.76,81.36,48.69,82.82,87.58
Polycaprolactone (PCL),13.34,101.01,46.72,156.58,70.57,54.5,55.52,59.48
Polybutylene Adipate Terephthalate (PBAT),38.51,96.71,220.46,175.07,55.18,65.89,74.21,64.78
Polybutylene Succinate (PBS),17.04,42.0,241.78,176.35,84.69,48.84,81.63,25.48
Polyhydroxyvalerate (PHV),83.19,56.1,115.89,178.81,68.09,85.23,98.51,74.76
Gelatin,61.96,70.02,247.72,224.69,74.72,80.21,94.37,80.18
Polybutylene Succinate (PBS),36.07,55.34,90.83,169.13,84.88,50.31,67.06,36.61
Cellulose Acetate,12.41,100.12,30.64,180.27,95.81,38.63,77.43,59.23
Polycaprolactone (PCL),34.31,55.19,149.53,183.26,91.71,32.01,56.78,52.87
Coconut Coir Composite,35.57,35.01,219.03,158.92,73.9,72.58,65.23,71.67
Starch-based Polymer,71.37,62.54,160.11,246.38,70.92,46.37,89.69,82.66
